
epoch 1, loss [8.228245735168457], batch 512
epoch 2, loss [6.280432224273682], batch 512
epoch 3, loss [4.640571117401123], batch 512
epoch 4, loss [3.564713954925537], batch 512
epoch 5, loss [2.4112184047698975], batch 512
epoch 6, loss [1.9974173307418823], batch 512
epoch 7, loss [1.263791561126709], batch 512
epoch 8, loss [0.7905409336090088], batch 512
epoch 9, loss [0.4903815984725952], batch 512
epoch 10, loss [0.31885474920272827], batch 512
epoch 11, loss [0.812191367149353], batch 512
epoch 12, loss [0.6679369211196899], batch 512
epoch 13, loss [0.5497022867202759], batch 512
epoch 14, loss [0.47129514813423157], batch 512
epoch 15, loss [0.41757962107658386], batch 512
epoch 16, loss [0.36792904138565063], batch 512
epoch 17, loss [0.33122822642326355], batch 512
epoch 18, loss [0.2989163398742676], batch 512
epoch 19, loss [0.2748262286186218], batch 512
epoch 20, loss [0.25250762701034546], batch 512
epoch 21, loss [0.23324346542358398], batch 512
epoch 22, loss [0.21806888282299042], batch 512
epoch 23, loss [0.20099693536758423], batch 512
epoch 24, loss [0.18392440676689148], batch 512
epoch 25, loss [0.1780196875333786], batch 512
epoch 26, loss [0.16366299986839294], batch 512
epoch 27, loss [0.1519479751586914], batch 512
epoch 28, loss [0.14553186297416687], batch 512
epoch 29, loss [0.14483121037483215], batch 512
epoch 30, loss [0.137253999710083], batch 512
epoch 31, loss [0.13093996047973633], batch 512
epoch 32, loss [0.11740516126155853], batch 512
epoch 33, loss [0.11314781755208969], batch 512
epoch 34, loss [0.10736034065485], batch 512
epoch 35, loss [0.1110120415687561], batch 512
epoch 36, loss [0.10631424188613892], batch 512
epoch 37, loss [0.10179464519023895], batch 512
epoch 38, loss [0.09303946048021317], batch 512
epoch 39, loss [0.0940571054816246], batch 512
epoch 40, loss [0.08528115600347519], batch 512
epoch 41, loss [0.08895517885684967], batch 512
epoch 42, loss [0.08679842948913574], batch 512
epoch 43, loss [0.07728005945682526], batch 512
epoch 44, loss [0.0736815333366394], batch 512
epoch 45, loss [0.07787095755338669], batch 512
epoch 46, loss [0.07744141668081284], batch 512
epoch 47, loss [0.07361314445734024], batch 512
epoch 48, loss [0.06686287373304367], batch 512
epoch 49, loss [0.06435057520866394], batch 512
