
epoch 1, accuracy 0.3900589721988206
epoch 2, accuracy 0.5644481887110362
epoch 3, accuracy 0.6775484414490311
epoch 4, accuracy 0.7371524852569503
epoch 5, accuracy 0.7668070766638585
epoch 6, accuracy 0.8135636057287279
epoch 7, accuracy 0.8182813816343724
epoch 8, accuracy 0.8153748946925021
epoch 9, accuracy 0.802106149957877
epoch 10, accuracy 0.8171019376579612
epoch 11, accuracy 0.8363942712721145
epoch 12, accuracy 0.8590985678180286
epoch 13, accuracy 0.8641533277169334
epoch 14, accuracy 0.8727885425442291
epoch 15, accuracy 0.8778854254422915
epoch 16, accuracy 0.8792754844144903
epoch 17, accuracy 0.871609098567818
epoch 18, accuracy 0.8523588879528222
epoch 19, accuracy 0.874810446503791
epoch 20, accuracy 0.8830244313395114
epoch 21, accuracy 0.8823504633529907
epoch 22, accuracy 0.895240101095198
epoch 23, accuracy 0.8857624262847514
epoch 24, accuracy 0.8812131423757371
epoch 25, accuracy 0.8982308340353833
epoch 26, accuracy 0.8956613310867734
epoch 27, accuracy 0.8871946082561079
epoch 28, accuracy 0.8877843302443134
epoch 29, accuracy 0.8985678180286436
epoch 30, accuracy 0.904675652906487
epoch 31, accuracy 0.8949873631002527
epoch 32, accuracy 0.8939764111204718
epoch 33, accuracy 0.8917860151642797
epoch 34, accuracy 0.9020640269587195
epoch 35, accuracy 0.8872788542544229
epoch 36, accuracy 0.8976411120471778
epoch 37, accuracy 0.8996208930075822
epoch 38, accuracy 0.9021482729570346
epoch 39, accuracy 0.9114995787700084
epoch 40, accuracy 0.9066975568660489
epoch 41, accuracy 0.9049283909014322
epoch 42, accuracy 0.8998736310025274
epoch 43, accuracy 0.9057287278854255
epoch 44, accuracy 0.9028643639427127
epoch 45, accuracy 0.908972198820556
epoch 46, accuracy 0.912636899747262
epoch 47, accuracy 0.9153748946925021
epoch 48, accuracy 0.9064026958719461
epoch 49, accuracy 0.9104886267902275
